seed,variant,geometric_mean_likelihood,information_deficit_nats,accuracy,minutes,cached
42,Original,0.7667869419587162,0.42760088333814816,0.8946,,True
42,3Layers,0.7162285657755395,0.3593912435401843,0.867,,True
42,NoAttention,0.6872691922890254,0.31811795444498425,0.841,,True
42,NoFFN,0.6919396150756835,0.32489059193665143,0.8462,,True
42,NoNorm,4.653135103186725e-05,-9.282237076253262,0.4986,,True
43,Original,0.7477486136605228,0.4024587450714667,0.8822,,True
43,3Layers,0.7153908169861775,0.35822089212545344,0.8572,,True
43,NoAttention,0.6770003037269229,0.3030636231265009,0.828,,True
43,NoFFN,0.704169215753048,0.3424105921388038,0.8428,,True
43,NoNorm,3.149388978594404e-05,-9.67256982543773,0.4998,,True
44,Original,0.7569736058851774,0.4147202876771176,0.8886,,True
44,3Layers,0.7112051357206133,0.35235280695589216,0.8528,,True
44,NoAttention,0.6630371003364176,0.28222284847320456,0.8158,,True
44,NoFFN,0.6937067807677969,0.3274412667054872,0.838,,True
44,NoNorm,8.907001050736035e-05,-8.632940681993112,0.5208,,True
45,Original,0.6763311654303102,0.3020747473538018,0.8548,6.439267695833345,False
45,3Layers,0.6561419087705095,0.2717689914724488,0.826,2.588137505550003,False
45,NoAttention,0.6730133322932458,0.2971570412688801,0.8176,3.943451179866679,False
45,NoFFN,0.6731154355053858,0.2973087402961623,0.8244,2.5341908402833724,False
45,NoNorm,3.2607114664375476e-05,-9.63783287160431,0.501,4.482610200699977,False
46,Original,0.7544697973774747,0.4114071490010244,0.8882,4.61471635554996,False
46,3Layers,0.715620089539876,0.3585413265185314,0.8598,2.4159510367999855,False
46,NoAttention,0.6842732828227649,0.31374927569757977,0.8312,3.8929937555500147,False
46,NoFFN,0.714915000677875,0.35755555703420405,0.8536,2.505444938883314,False
46,NoNorm,3.1491468395061006e-05,-9.672646712859002,0.4998,4.4822796034833425,False
