seed,model,class,one_vs_rest_imv
42,logistic_regression,0,0.14878574600630895
42,logistic_regression,1,0.046994431178721714
42,logistic_regression,2,0.0033187690376999014
42,logistic_regression,3,0.01977015392746718
42,xgboost,0,0.4040418463653822
42,xgboost,1,0.251872044563883
42,xgboost,2,0.03426070393718935
42,xgboost,3,0.03549794993123363
42,lightgbm,0,0.4155575356942455
42,lightgbm,1,0.26769020140591804
42,lightgbm,2,0.03723685899961878
42,lightgbm,3,0.037293976940831794
43,logistic_regression,0,0.14814628448094228
43,logistic_regression,1,0.04592003864662546
43,logistic_regression,2,0.003335063839640879
43,logistic_regression,3,0.01971363738634493
43,xgboost,0,0.4048945775004048
43,xgboost,1,0.2526579387225926
43,xgboost,2,0.034343315260326926
43,xgboost,3,0.035536610818172464
43,lightgbm,0,0.41604251169524026
43,lightgbm,1,0.2683693214505881
43,lightgbm,2,0.03753866213781795
43,lightgbm,3,0.03735435682328383
44,logistic_regression,0,0.14986800052340554
44,logistic_regression,1,0.04757024386636255
44,logistic_regression,2,0.002965073473112807
44,logistic_regression,3,0.019554645688632327
44,xgboost,0,0.4044786514133555
44,xgboost,1,0.2522383609018706
44,xgboost,2,0.03378823077642415
44,xgboost,3,0.03570009984341844
44,lightgbm,0,0.41520570094165005
44,lightgbm,1,0.2678456517447687
44,lightgbm,2,0.0367857667078307
44,lightgbm,3,0.037571343617750844
45,logistic_regression,0,0.1457793230850172
45,logistic_regression,1,0.045045992432095665
45,logistic_regression,2,0.0034252928468691017
45,logistic_regression,3,0.01974036428664983
45,xgboost,0,0.40450996948342705
45,xgboost,1,0.2514804641689397
45,xgboost,2,0.03406857903215886
45,xgboost,3,0.03570902190430279
45,lightgbm,0,0.41576117894155784
45,lightgbm,1,0.2678848160912645
45,lightgbm,2,0.03747823833632989
45,lightgbm,3,0.03760920577768038
46,logistic_regression,0,0.14876294669284948
46,logistic_regression,1,0.04657338663863022
46,logistic_regression,2,0.0032608522441320035
46,logistic_regression,3,0.019318495252883247
46,xgboost,0,0.40446459664750234
46,xgboost,1,0.2521698475771128
46,xgboost,2,0.0344389724588897
46,xgboost,3,0.03572372061837292
46,lightgbm,0,0.4156875466817132
46,lightgbm,1,0.26826226719463503
46,lightgbm,2,0.0375090734532247
46,lightgbm,3,0.037631911527271
