seed,model,class,one_vs_rest_imv
42,logistic_regression,0,0.5195998900332346
42,logistic_regression,1,0.3098477624850831
42,logistic_regression,2,0.27561166943793713
42,xgboost,0,0.519787597838741
42,xgboost,1,0.48683900442139316
42,xgboost,2,0.44838488660646814
42,lightgbm,0,0.5198479733856919
42,lightgbm,1,0.49480637253640697
42,lightgbm,2,0.45615469537307574
43,logistic_regression,0,0.519598731954237
43,logistic_regression,1,0.30987167359470147
43,logistic_regression,2,0.27563301245417815
43,xgboost,0,0.5197855231078916
43,xgboost,1,0.4867989851734178
43,xgboost,2,0.4483409342471809
43,lightgbm,0,0.5198478636855102
43,lightgbm,1,0.4946091129954082
43,lightgbm,2,0.4559632735095181
44,logistic_regression,0,0.5196021666144253
44,logistic_regression,1,0.3099585621388209
44,logistic_regression,2,0.2757244191663585
44,xgboost,0,0.5197872689675961
44,xgboost,1,0.4864550548117057
44,xgboost,2,0.4480128876799509
44,lightgbm,0,0.5198480546194971
44,lightgbm,1,0.494777997327932
44,lightgbm,2,0.45612763350104313
45,logistic_regression,0,0.5196028342802432
45,logistic_regression,1,0.3097661712509151
45,logistic_regression,2,0.2755381849838575
45,xgboost,0,0.5197874546296257
45,xgboost,1,0.4865090978560981
45,xgboost,2,0.448063529504942
45,lightgbm,0,0.5198480480985126
45,lightgbm,1,0.49465763357329406
45,lightgbm,2,0.4560112375882791
46,logistic_regression,0,0.5196009230473594
46,logistic_regression,1,0.3098778853830245
46,logistic_regression,2,0.27564305444032106
46,xgboost,0,0.51978822616976
46,xgboost,1,0.4867549725764356
46,xgboost,2,0.44830857210319747
46,lightgbm,0,0.5198477431789404
46,lightgbm,1,0.4950518021521481
46,lightgbm,2,0.45639376580377655
