seed,model,feature,shap_imv
42,logistic_regression,age,0.015
42,logistic_regression,education-num,0.042
42,logistic_regression,hours-per-week,0.015
42,logistic_regression,capital-gain,0.033
42,logistic_regression,sex_female,0.011
42,logistic_regression,married,0.052
42,logistic_regression,__full_model_imv__,0.16826101329385557
42,xgboost,age,0.028
42,xgboost,education-num,0.036
42,xgboost,hours-per-week,0.014
42,xgboost,capital-gain,0.043
42,xgboost,sex_female,0.011
42,xgboost,married,0.046
42,xgboost,__full_model_imv__,0.1773744792247745
42,lightgbm,age,0.028
42,lightgbm,education-num,0.036
42,lightgbm,hours-per-week,0.014
42,lightgbm,capital-gain,0.043
42,lightgbm,sex_female,0.011
42,lightgbm,married,0.045
42,lightgbm,__full_model_imv__,0.1773948022047732
43,logistic_regression,age,0.011
43,logistic_regression,education-num,0.044
43,logistic_regression,hours-per-week,0.016
43,logistic_regression,capital-gain,0.028
43,logistic_regression,sex_female,0.008
43,logistic_regression,married,0.066
43,logistic_regression,__full_model_imv__,0.1734514086456118
43,xgboost,age,0.023
43,xgboost,education-num,0.04
43,xgboost,hours-per-week,0.016
43,xgboost,capital-gain,0.042
43,xgboost,sex_female,0.007
43,xgboost,married,0.059
43,xgboost,__full_model_imv__,0.18592268378825755
43,lightgbm,age,0.022
43,lightgbm,education-num,0.039
43,lightgbm,hours-per-week,0.015
43,lightgbm,capital-gain,0.042
43,lightgbm,sex_female,0.007
43,lightgbm,married,0.059
43,lightgbm,__full_model_imv__,0.18460000258047057
44,logistic_regression,age,0.014
44,logistic_regression,education-num,0.043
44,logistic_regression,hours-per-week,0.013
44,logistic_regression,capital-gain,0.036
44,logistic_regression,sex_female,0.012
44,logistic_regression,married,0.061
44,logistic_regression,__full_model_imv__,0.1786038744707841
44,xgboost,age,0.027
44,xgboost,education-num,0.036
44,xgboost,hours-per-week,0.014
44,xgboost,capital-gain,0.045
44,xgboost,sex_female,0.011
44,xgboost,married,0.054
44,xgboost,__full_model_imv__,0.18699478597808109
44,lightgbm,age,0.027
44,lightgbm,education-num,0.036
44,lightgbm,hours-per-week,0.014
44,lightgbm,capital-gain,0.044
44,lightgbm,sex_female,0.011
44,lightgbm,married,0.054
44,lightgbm,__full_model_imv__,0.1866805806799962
45,logistic_regression,age,0.01
45,logistic_regression,education-num,0.046
45,logistic_regression,hours-per-week,0.012
45,logistic_regression,capital-gain,0.031
45,logistic_regression,sex_female,0.013
45,logistic_regression,married,0.06
45,logistic_regression,__full_model_imv__,0.1718494321458324
45,xgboost,age,0.026
45,xgboost,education-num,0.038
45,xgboost,hours-per-week,0.015
45,xgboost,capital-gain,0.044
45,xgboost,sex_female,0.012
45,xgboost,married,0.054
45,xgboost,__full_model_imv__,0.1882563497244367
45,lightgbm,age,0.024
45,lightgbm,education-num,0.038
45,lightgbm,hours-per-week,0.015
45,lightgbm,capital-gain,0.042
45,lightgbm,sex_female,0.012
45,lightgbm,married,0.055
45,lightgbm,__full_model_imv__,0.1860077615349786
46,logistic_regression,age,0.011
46,logistic_regression,education-num,0.048
46,logistic_regression,hours-per-week,0.013
46,logistic_regression,capital-gain,0.032
46,logistic_regression,sex_female,0.012
46,logistic_regression,married,0.059
46,logistic_regression,__full_model_imv__,0.1754236620995398
46,xgboost,age,0.027
46,xgboost,education-num,0.041
46,xgboost,hours-per-week,0.014
46,xgboost,capital-gain,0.045
46,xgboost,sex_female,0.011
46,xgboost,married,0.051
46,xgboost,__full_model_imv__,0.18906656781945452
46,lightgbm,age,0.026
46,lightgbm,education-num,0.04
46,lightgbm,hours-per-week,0.014
46,lightgbm,capital-gain,0.045
46,lightgbm,sex_female,0.012
46,lightgbm,married,0.051
46,lightgbm,__full_model_imv__,0.18836218548807723
