model,feature,mean,std
lightgbm,married,0.0528,0.005215361924162119
lightgbm,capital-gain,0.0432,0.001303840481040529
lightgbm,education-num,0.0378,0.0017888543819998331
lightgbm,age,0.0254,0.0024083189157584595
lightgbm,hours-per-week,0.0144,0.0005477225575051658
lightgbm,sex_female,0.0106,0.0020736441353327727
logistic_regression,married,0.0596,0.0050299105359837195
logistic_regression,education-num,0.0446,0.0024083189157584604
logistic_regression,capital-gain,0.032,0.0029154759474226497
logistic_regression,hours-per-week,0.013800000000000002,0.0016431676725154984
logistic_regression,age,0.012199999999999999,0.0021679483388678793
logistic_regression,sex_female,0.0112,0.0019235384061671345
xgboost,married,0.0528,0.004764451699828638
xgboost,capital-gain,0.0438,0.0013038404810405304
xgboost,education-num,0.0382,0.002280350850198278
xgboost,age,0.0262,0.0019235384061671347
xgboost,hours-per-week,0.014599999999999998,0.0008944271909999159
xgboost,sex_female,0.0104,0.001949358868961793
