seed,model,feature,shap_imv
42,logistic_regression,radius1,0.215
42,logistic_regression,texture1,0.073
42,logistic_regression,smoothness1,0.051
42,logistic_regression,compactness1,0.129
42,logistic_regression,symmetry1,0.034
42,logistic_regression,fractal_dimension1,0.028
42,logistic_regression,__full_model_imv__,0.5287744628477176
42,xgboost,radius1,0.221
42,xgboost,texture1,0.07
42,xgboost,smoothness1,0.046
42,xgboost,compactness1,0.125
42,xgboost,symmetry1,0.031
42,xgboost,fractal_dimension1,0.02
42,xgboost,__full_model_imv__,0.5135000176109668
42,lightgbm,radius1,0.218
42,lightgbm,texture1,0.067
42,lightgbm,smoothness1,0.047
42,lightgbm,compactness1,0.118
42,lightgbm,symmetry1,0.027
42,lightgbm,fractal_dimension1,0.033
42,lightgbm,__full_model_imv__,0.5104693376819551
43,logistic_regression,radius1,0.219
43,logistic_regression,texture1,0.066
43,logistic_regression,smoothness1,0.05
43,logistic_regression,compactness1,0.133
43,logistic_regression,symmetry1,0.037
43,logistic_regression,fractal_dimension1,0.024
43,logistic_regression,__full_model_imv__,0.5291280909658213
43,xgboost,radius1,0.22
43,xgboost,texture1,0.075
43,xgboost,smoothness1,0.049
43,xgboost,compactness1,0.133
43,xgboost,symmetry1,0.032
43,xgboost,fractal_dimension1,0.013
43,xgboost,__full_model_imv__,0.5227411048367006
43,lightgbm,radius1,0.219
43,lightgbm,texture1,0.074
43,lightgbm,smoothness1,0.044
43,lightgbm,compactness1,0.129
43,lightgbm,symmetry1,0.033
43,lightgbm,fractal_dimension1,0.02
43,lightgbm,__full_model_imv__,0.5191627898554
44,logistic_regression,radius1,0.215
44,logistic_regression,texture1,0.071
44,logistic_regression,smoothness1,0.05
44,logistic_regression,compactness1,0.13
44,logistic_regression,symmetry1,0.035
44,logistic_regression,fractal_dimension1,0.028
44,logistic_regression,__full_model_imv__,0.5293593829687043
44,xgboost,radius1,0.229
44,xgboost,texture1,0.078
44,xgboost,smoothness1,0.046
44,xgboost,compactness1,0.134
44,xgboost,symmetry1,0.026
44,xgboost,fractal_dimension1,0.014
44,xgboost,__full_model_imv__,0.526419653043287
44,lightgbm,radius1,0.227
44,lightgbm,texture1,0.077
44,lightgbm,smoothness1,0.045
44,lightgbm,compactness1,0.128
44,lightgbm,symmetry1,0.025
44,lightgbm,fractal_dimension1,0.018
44,lightgbm,__full_model_imv__,0.5211546715160769
45,logistic_regression,radius1,0.218
45,logistic_regression,texture1,0.073
45,logistic_regression,smoothness1,0.05
45,logistic_regression,compactness1,0.131
45,logistic_regression,symmetry1,0.029
45,logistic_regression,fractal_dimension1,0.028
45,logistic_regression,__full_model_imv__,0.5288598116218319
45,xgboost,radius1,0.236
45,xgboost,texture1,0.069
45,xgboost,smoothness1,0.05
45,xgboost,compactness1,0.136
45,xgboost,symmetry1,0.015
45,xgboost,fractal_dimension1,0.018
45,xgboost,__full_model_imv__,0.5239194897057838
45,lightgbm,radius1,0.237
45,lightgbm,texture1,0.077
45,lightgbm,smoothness1,0.051
45,lightgbm,compactness1,0.129
45,lightgbm,symmetry1,0.005
45,lightgbm,fractal_dimension1,0.025
45,lightgbm,__full_model_imv__,0.5229058032668171
46,logistic_regression,radius1,0.214
46,logistic_regression,texture1,0.071
46,logistic_regression,smoothness1,0.049
46,logistic_regression,compactness1,0.129
46,logistic_regression,symmetry1,0.035
46,logistic_regression,fractal_dimension1,0.03
46,logistic_regression,__full_model_imv__,0.5282298561741223
46,xgboost,radius1,0.231
46,xgboost,texture1,0.086
46,xgboost,smoothness1,0.036
46,xgboost,compactness1,0.131
46,xgboost,symmetry1,0.027
46,xgboost,fractal_dimension1,0.008
46,xgboost,__full_model_imv__,0.5186336843877472
46,lightgbm,radius1,0.234
46,lightgbm,texture1,0.085
46,lightgbm,smoothness1,0.035
46,lightgbm,compactness1,0.126
46,lightgbm,symmetry1,0.02
46,lightgbm,fractal_dimension1,0.013
46,lightgbm,__full_model_imv__,0.5139154480704419
