model,feature,mean,std
lightgbm,radius1,0.227,0.008573214099741122
lightgbm,compactness1,0.126,0.004636809247747856
lightgbm,texture1,0.076,0.006480740698407854
lightgbm,smoothness1,0.0444,0.0058991524815010495
lightgbm,symmetry1,0.022,0.010583005244258361
lightgbm,fractal_dimension1,0.0218,0.007596051605933179
logistic_regression,radius1,0.2162,0.0021679483388678824
logistic_regression,compactness1,0.13040000000000002,0.0016733200530681545
logistic_regression,texture1,0.0708,0.002863564212655266
logistic_regression,smoothness1,0.05,0.0007071067811865472
logistic_regression,symmetry1,0.034,0.002999999999999999
logistic_regression,fractal_dimension1,0.027600000000000003,0.002190890230020663
xgboost,radius1,0.2274,0.006804410334481608
xgboost,compactness1,0.1318,0.004207136793592527
xgboost,texture1,0.0756,0.006877499545619753
xgboost,smoothness1,0.0454,0.005549774770204646
xgboost,symmetry1,0.0262,0.00676017751246223
xgboost,fractal_dimension1,0.014599999999999998,0.004669047011971501
