seed,model,feature,shap_imv
42,logistic_regression,Sex,0.148
42,logistic_regression,Title,0.072
42,logistic_regression,Class,0.041
42,logistic_regression,AgeClass,0.04
42,logistic_regression,Fare,0.019
42,logistic_regression,Embarked,0.014
42,logistic_regression,__full_model_imv__,0.33492777367954274
42,xgboost,Sex,0.105
42,xgboost,Title,0.116
42,xgboost,Class,0.049
42,xgboost,AgeClass,0.022
42,xgboost,Fare,0.063
42,xgboost,Embarked,0.015
42,xgboost,__full_model_imv__,0.37055775165880006
42,lightgbm,Sex,0.104
42,lightgbm,Title,0.116
42,lightgbm,Class,0.048
42,lightgbm,AgeClass,0.027
42,lightgbm,Fare,0.057
42,lightgbm,Embarked,0.013
42,lightgbm,__full_model_imv__,0.36583034203587916
43,logistic_regression,Sex,0.151
43,logistic_regression,Title,0.07
43,logistic_regression,Class,0.041
43,logistic_regression,AgeClass,0.038
43,logistic_regression,Fare,0.021
43,logistic_regression,Embarked,0.013
43,logistic_regression,__full_model_imv__,0.334368803982291
43,xgboost,Sex,0.111
43,xgboost,Title,0.119
43,xgboost,Class,0.047
43,xgboost,AgeClass,0.017
43,xgboost,Fare,0.063
43,xgboost,Embarked,0.012
43,xgboost,__full_model_imv__,0.3692272202690782
43,lightgbm,Sex,0.109
43,lightgbm,Title,0.119
43,lightgbm,Class,0.048
43,lightgbm,AgeClass,0.021
43,lightgbm,Fare,0.059
43,lightgbm,Embarked,0.009
43,lightgbm,__full_model_imv__,0.36556633190815246
44,logistic_regression,Sex,0.152
44,logistic_regression,Title,0.068
44,logistic_regression,Class,0.042
44,logistic_regression,AgeClass,0.039
44,logistic_regression,Fare,0.021
44,logistic_regression,Embarked,0.012
44,logistic_regression,__full_model_imv__,0.33275746574753107
44,xgboost,Sex,0.106
44,xgboost,Title,0.115
44,xgboost,Class,0.049
44,xgboost,AgeClass,0.025
44,xgboost,Fare,0.065
44,xgboost,Embarked,0.012
44,xgboost,__full_model_imv__,0.3724390157370677
44,lightgbm,Sex,0.107
44,lightgbm,Title,0.117
44,lightgbm,Class,0.051
44,lightgbm,AgeClass,0.03
44,lightgbm,Fare,0.057
44,lightgbm,Embarked,0.012
44,lightgbm,__full_model_imv__,0.3737383489731088
45,logistic_regression,Sex,0.151
45,logistic_regression,Title,0.068
45,logistic_regression,Class,0.042
45,logistic_regression,AgeClass,0.039
45,logistic_regression,Fare,0.021
45,logistic_regression,Embarked,0.014
45,logistic_regression,__full_model_imv__,0.33422097297294806
45,xgboost,Sex,0.108
45,xgboost,Title,0.119
45,xgboost,Class,0.049
45,xgboost,AgeClass,0.025
45,xgboost,Fare,0.061
45,xgboost,Embarked,0.014
45,xgboost,__full_model_imv__,0.3753018130701874
45,lightgbm,Sex,0.107
45,lightgbm,Title,0.117
45,lightgbm,Class,0.05
45,lightgbm,AgeClass,0.026
45,lightgbm,Fare,0.054
45,lightgbm,Embarked,0.014
45,lightgbm,__full_model_imv__,0.3679589063430352
46,logistic_regression,Sex,0.153
46,logistic_regression,Title,0.068
46,logistic_regression,Class,0.041
46,logistic_regression,AgeClass,0.04
46,logistic_regression,Fare,0.02
46,logistic_regression,Embarked,0.013
46,logistic_regression,__full_model_imv__,0.3354322882021982
46,xgboost,Sex,0.107
46,xgboost,Title,0.117
46,xgboost,Class,0.05
46,xgboost,AgeClass,0.018
46,xgboost,Fare,0.059
46,xgboost,Embarked,0.015
46,xgboost,__full_model_imv__,0.3649204120583814
46,lightgbm,Sex,0.106
46,lightgbm,Title,0.117
46,lightgbm,Class,0.049
46,lightgbm,AgeClass,0.024
46,lightgbm,Fare,0.056
46,lightgbm,Embarked,0.015
46,lightgbm,__full_model_imv__,0.3663280690485517
