model,feature,mean,std
lightgbm,Title,0.11720000000000001,0.0010954451150103285
lightgbm,Sex,0.1066,0.001816590212458497
lightgbm,Fare,0.056600000000000004,0.0018165902124584923
lightgbm,Class,0.0492,0.0013038404810405274
lightgbm,AgeClass,0.0256,0.0033615472627943213
lightgbm,Embarked,0.0126,0.0023021728866442675
logistic_regression,Sex,0.151,0.0018708286933869743
logistic_regression,Title,0.06920000000000001,0.001788854381999833
logistic_regression,Class,0.041400000000000006,0.0005477225575051671
logistic_regression,AgeClass,0.0392,0.0008366600265340765
logistic_regression,Fare,0.0204,0.0008944271909999165
logistic_regression,Embarked,0.0132,0.0008366600265340756
xgboost,Title,0.1172,0.001788854381999828
xgboost,Sex,0.10740000000000001,0.00230217288664427
xgboost,Fare,0.0622,0.0022803508501982777
xgboost,Class,0.048799999999999996,0.0010954451150103333
xgboost,AgeClass,0.0214,0.0037815340802378077
xgboost,Embarked,0.013600000000000001,0.0015165750888103098
