seed,model,feature,shap_imv
42,logistic_regression,alcohol,0.117
42,logistic_regression,volatile_acidity,0.064
42,logistic_regression,sulphates,0.006
42,logistic_regression,total_sulfur_dioxide,0.006
42,logistic_regression,density,0.04
42,logistic_regression,residual_sugar,0.009
42,logistic_regression,__full_model_imv__,0.24215663051667255
42,xgboost,alcohol,0.094
42,xgboost,volatile_acidity,0.057
42,xgboost,sulphates,0.019
42,xgboost,total_sulfur_dioxide,0.023
42,xgboost,density,0.054
42,xgboost,residual_sugar,0.021
42,xgboost,__full_model_imv__,0.2679328763880566
42,lightgbm,alcohol,0.094
42,lightgbm,volatile_acidity,0.058
42,lightgbm,sulphates,0.019
42,lightgbm,total_sulfur_dioxide,0.021
42,lightgbm,density,0.053
42,lightgbm,residual_sugar,0.021
42,lightgbm,__full_model_imv__,0.2667791524030218
43,logistic_regression,alcohol,0.113
43,logistic_regression,volatile_acidity,0.059
43,logistic_regression,sulphates,0.007
43,logistic_regression,total_sulfur_dioxide,0.011
43,logistic_regression,density,0.043
43,logistic_regression,residual_sugar,0.01
43,logistic_regression,__full_model_imv__,0.24216642057966223
43,xgboost,alcohol,0.094
43,xgboost,volatile_acidity,0.065
43,xgboost,sulphates,0.016
43,xgboost,total_sulfur_dioxide,0.027
43,xgboost,density,0.056
43,xgboost,residual_sugar,0.02
43,xgboost,__full_model_imv__,0.27776396140590176
43,lightgbm,alcohol,0.094
43,lightgbm,volatile_acidity,0.065
43,lightgbm,sulphates,0.015
43,lightgbm,total_sulfur_dioxide,0.027
43,lightgbm,density,0.054
43,lightgbm,residual_sugar,0.021
43,lightgbm,__full_model_imv__,0.2767445880754681
44,logistic_regression,alcohol,0.116
44,logistic_regression,volatile_acidity,0.057
44,logistic_regression,sulphates,0.009
44,logistic_regression,total_sulfur_dioxide,0.006
44,logistic_regression,density,0.044
44,logistic_regression,residual_sugar,0.008
44,logistic_regression,__full_model_imv__,0.24071424724855892
44,xgboost,alcohol,0.096
44,xgboost,volatile_acidity,0.057
44,xgboost,sulphates,0.017
44,xgboost,total_sulfur_dioxide,0.024
44,xgboost,density,0.055
44,xgboost,residual_sugar,0.02
44,xgboost,__full_model_imv__,0.2686035080816261
44,lightgbm,alcohol,0.098
44,lightgbm,volatile_acidity,0.057
44,lightgbm,sulphates,0.017
44,lightgbm,total_sulfur_dioxide,0.025
44,lightgbm,density,0.055
44,lightgbm,residual_sugar,0.021
44,lightgbm,__full_model_imv__,0.27400677937846507
45,logistic_regression,alcohol,0.105
45,logistic_regression,volatile_acidity,0.057
45,logistic_regression,sulphates,0.008
45,logistic_regression,total_sulfur_dioxide,0.008
45,logistic_regression,density,0.043
45,logistic_regression,residual_sugar,0.01
45,logistic_regression,__full_model_imv__,0.23131043676727212
45,xgboost,alcohol,0.09
45,xgboost,volatile_acidity,0.056
45,xgboost,sulphates,0.016
45,xgboost,total_sulfur_dioxide,0.024
45,xgboost,density,0.056
45,xgboost,residual_sugar,0.021
45,xgboost,__full_model_imv__,0.26280175200765277
45,lightgbm,alcohol,0.09
45,lightgbm,volatile_acidity,0.056
45,lightgbm,sulphates,0.016
45,lightgbm,total_sulfur_dioxide,0.021
45,lightgbm,density,0.056
45,lightgbm,residual_sugar,0.024
45,lightgbm,__full_model_imv__,0.2633112335054353
46,logistic_regression,alcohol,0.111
46,logistic_regression,volatile_acidity,0.061
46,logistic_regression,sulphates,0.005
46,logistic_regression,total_sulfur_dioxide,0.007
46,logistic_regression,density,0.036
46,logistic_regression,residual_sugar,0.01
46,logistic_regression,__full_model_imv__,0.23052100627335662
46,xgboost,alcohol,0.09
46,xgboost,volatile_acidity,0.062
46,xgboost,sulphates,0.02
46,xgboost,total_sulfur_dioxide,0.019
46,xgboost,density,0.054
46,xgboost,residual_sugar,0.021
46,xgboost,__full_model_imv__,0.26639668312601744
46,lightgbm,alcohol,0.09
46,lightgbm,volatile_acidity,0.061
46,lightgbm,sulphates,0.019
46,lightgbm,total_sulfur_dioxide,0.021
46,lightgbm,density,0.053
46,lightgbm,residual_sugar,0.024
46,lightgbm,__full_model_imv__,0.26735759441199114
