model,feature,mean,std
lightgbm,alcohol,0.09319999999999999,0.003346640106136306
lightgbm,volatile_acidity,0.059399999999999994,0.003646916505762093
lightgbm,density,0.054200000000000005,0.0013038404810405307
lightgbm,total_sulfur_dioxide,0.023,0.0028284271247461896
lightgbm,residual_sugar,0.0222,0.0016431676725154976
lightgbm,sulphates,0.0172,0.0017888543819998323
logistic_regression,alcohol,0.11240000000000001,0.004774934554525334
logistic_regression,volatile_acidity,0.0596,0.002966479394838264
logistic_regression,density,0.0412,0.0032710854467592246
logistic_regression,residual_sugar,0.0094,0.000894427190999916
logistic_regression,total_sulfur_dioxide,0.0076,0.002073644135332772
logistic_regression,sulphates,0.006999999999999999,0.0015811388300841893
xgboost,alcohol,0.0928,0.002683281572999749
xgboost,volatile_acidity,0.059399999999999994,0.00391152144312159
xgboost,density,0.05500000000000001,0.0010000000000000009
xgboost,total_sulfur_dioxide,0.023399999999999997,0.002880972058177587
xgboost,residual_sugar,0.0206,0.0005477225575051667
xgboost,sulphates,0.017599999999999998,0.0018165902124584953
